custid,debtinc,creddebt,othdebt,preloan
289,3.6,2.02,2.4,1
290,8.39,2.54,3.31,2
291,5.93,2.96,1.61,1
292,6.35,2.18,3.24,2
293,7.5,2.9,4.38,2
294,3.43,1.17,1.8,2
295,13.22,3.67,2,1
296,7.84,2.1,2.55,2
297,10.6,3.24,2.25,2
298,19.59,5.04,1.98,1
299,5.04,3.43,2.75,1
300,5.69,1.01,0.58,1
301,29.93,22.49,13.37,2
302,13.5,3.03,5.29,2
303,8.25,2.34,4.79,2
304,5.94,2.26,1.3,1
305,9.27,2.94,4.21,2
306,1.38,0.93,0.2,2
307,16.18,0.75,7.23,1
308,23.96,2.19,10.98,2
309,10.98,2.91,0.87,2
310,14,3.17,3.28,2
311,28.56,10.14,8.48,2
312,12.47,6.52,2.15,2
313,16.72,0.86,2.47,1
314,15.9,1.11,4.22,2
315,13.36,3.07,2.59,2
316,18.03,1.71,3.57,2
317,20.18,4.73,7.79,2
318,10.88,2.8,1.93,1
319,7.23,2.38,2.16,2
320,4.61,1.76,1,2
321,8,0.56,2.67,1
322,14.14,1.47,6.41,1
323,2.96,1.29,2.1,2
324,9.86,3.44,1.36,2
325,16.89,4.45,4.63,1
326,29.37,15.07,18,2
327,17.48,4.86,14.24,1
328,5.27,2.99,1.87,2
329,11.77,2.15,3.59,1
330,15.26,1.57,3.05,2
331,5.13,0.88,0.93,1
332,6.01,2.2,2.39,2
333,7.38,3.26,2.05,1
334,13.32,3.42,3.92,2
335,14.59,5.53,7.94,2
336,6.77,0.14,2.55,1
337,19.9,3.23,4.31,2
338,10.26,3.3,4.36,2
339,24.24,6.78,5.43,2
340,15.38,1.78,5.1,1
341,15.35,4.29,3.35,2
342,7.41,2.27,1.54,1
343,8.01,1.84,2.89,2
344,16.03,9.71,27.41,1
345,16.07,5.05,6.57,1
346,18.41,1.24,3.03,1
347,6.41,2.94,1.65,1
348,11.66,3.44,3.3,1
349,5.26,1.56,1.98,2
350,7.16,2,2.44,2
351,0.78,1.68,2.14,2
352,21.68,3.51,3.9,1
353,3.96,1.72,1.18,1
354,10.11,3.01,5.41,1
355,16.81,9.48,6.45,2
356,18,0.85,8.61,2
357,26.79,2.88,5.15,1
358,19.67,3.04,2.84,1
359,25.47,4.78,9.95,1
360,8.62,1.78,0.48,1
361,5.26,2.34,1.31,2
362,4.3,0.64,0.91,1
363,21.04,1.49,2.76,2
364,9.28,2.64,3.48,2
365,14.01,3.43,1.68,2
366,2.18,0.72,1.72,2
367,8.2,1.79,1.72,1
368,2.95,2.72,2.26,1
369,12.15,7.79,4,1
370,6.98,1.14,2.62,1
371,13.17,1.89,4.44,1
372,12.74,1.03,1.86,1
373,3.43,1.45,2.12,1
374,42.17,16.97,15.31,1
375,3.43,0.52,2.07,2
376,6.42,0.91,1.08,1
377,8.56,3.12,1.63,1
378,5.62,2,1.42,2
379,7.3,3.27,2.9,2
380,2.84,1.06,0.9,2
381,11.58,3.61,3.59,1
382,33.91,8.19,10.09,1
383,18.44,6.96,5.05,1
384,4.55,2.48,2.39,2
385,12.68,3.21,6.47,2
386,24.3,3.33,6,2
387,7.54,3.1,2.49,2
388,3.46,0.64,3.97,2
389,6.24,2.33,2.01,2
390,8.48,3.11,2.88,1
391,8.06,2.24,4.23,1
392,9.59,1.6,1.04,1
393,3.31,0.93,1.68,1
394,19.53,9.56,6.97,2
394,1.01,0.04,0.1,
395,21.44,3.07,8.88,2
396,15.15,1.65,4.1,1
397,19.62,4.04,5.19,1
398,12.67,4.37,2.3,1
399,13.53,3.68,1.39,2
400,12.48,2.76,2.5,1
401,11.61,1.39,2.91,1
402,4.33,2.09,1.94,2
403,11.13,1.93,3.85,1
404,31.6,4.19,16.29,1
405,15.74,5.02,3.25,2
406,13.84,1.69,7.56,2
407,11.01,3.63,1.73,2
408,8.89,2.84,5.14,1
409,5.76,1.24,2.18,2
410,9.21,0.47,3.07,2
411,3.29,3.01,2.15,1
412,14.77,2.4,10.13,1
413,8.84,4.77,2.91,1
414,14.23,4.51,2.62,2
415,23.64,2.45,4.88,2
416,8.78,2.95,3.99,2
417,6.23,2.87,2.58,2
418,7.19,1.31,2.14,1
419,26.84,6.89,9.7,1
420,34.04,5.25,12.56,1
421,16.6,2.12,3.25,1
422,7.63,0.66,5.05,1
423,7.55,1.41,0.94,1
424,3.25,2.73,2.22,2
425,20.19,1.92,6.82,2
426,3.81,0.53,1.6,1
427,3.08,0.57,1.09,2
428,1.52,2.37,1.21,2
429,5.85,0.82,2.92,2
430,23.71,9.37,9.24,2
431,28.45,9.63,10.21,2
432,8.87,2.4,2.87,1
433,8.08,0.94,3.71,1
434,16.98,2.02,3.62,2
435,20.46,5.35,7.25,1
436,7.38,2.82,3.32,1
437,1.78,0.56,1.37,1
438,6.91,6.22,8.46,2
439,5.09,3.05,1.4,1
440,5.76,2.27,1.27,2
441,19.25,5.76,10.51,2
442,13.14,2.01,2.53,1
443,20.22,4.11,13,2
444,29.69,3.51,3.41,2
445,7.53,16.08,13.84,2
446,19.22,7.33,5.34,2
447,8.18,2.07,1.45,1
448,13.37,3.71,2.54,2
449,16.92,4.22,4.12,2
450,16.9,2.87,2.72,2
451,4.69,4.12,5.5,2
452,12.68,0.98,2.61,2
453,14.22,2.62,4.46,1
454,8.6,2.46,2.76,2
455,19.84,5.31,3.11,2
456,12.86,2.1,2.72,2
457,8.97,1.67,10.58,2
458,19.95,3.19,2.31,2
459,18.83,3.98,2.19,2
460,5.25,2.47,2.29,1
461,6.49,3.06,1.22,2
462,12.83,2.78,2.99,2
463,5.13,1.01,1.98,1
464,7.01,3.36,1.59,1
465,23.78,5.6,4.29,2
466,25.97,2.51,3.89,1
467,18.23,16.04,23.25,2
468,6.76,3.22,2.11,1
469,19.42,2.5,10.89,1
470,6.59,1.55,1.31,2
471,22.4,1.48,3.73,2
472,8.2,1.72,2.08,2
473,12.32,2.73,3.72,2
474,6.27,2.95,0.94,2
475,6.32,2.77,2.98,2
476,11.95,1.18,5.43,2
477,17.16,0.47,3.39,1
478,14.23,2.16,3.82,1
479,14.4,1.47,20.17,2
480,18.54,5.43,6.8,2
481,9.96,1.65,2.75,1
482,9.73,3.1,1.84,1
483,8.25,1.89,3.49,2
484,7.73,1.76,1.48,1
485,11.06,5.69,7.96,1
486,8.1,1.04,2.22,2
487,5.71,1.69,2.38,1
488,25.83,6.23,6.08,1
489,17.28,4.4,1.81,2
490,1.7,0.94,1.58,2
491,8.01,1.98,2.33,2
492,28.51,2.72,22.43,1
493,35.7,3.73,9,2
494,16.08,7.69,5.04,2
495,18.89,3.58,3.18,2
496,11.41,3.81,2.62,2
497,9.33,5.73,5.92,1
498,14.74,1.94,11.47,1
499,23.23,0.64,4.41,2
500,20.6,6.42,4.17,1
501,8.7,1.75,2.19,2
502,17.76,2.09,5.87,2
503,11.29,3.23,12.54,1
504,18.42,3.69,3.91,2
505,20.4,3.07,2.65,2
506,24.66,3.05,5.25,2
507,5.48,2.51,4.68,2
508,4.49,1.6,0.75,2
509,17.81,3.07,2.37,1
510,8.46,3.64,6.45,2
511,19.46,5.07,2.47,1
512,10.39,1.53,5.19,2
513,6.3,2.83,1.29,2
514,9.02,3.3,1.44,1
515,8.89,2.16,4.89,1
516,15.5,2.86,8.62,2
517,14.65,4.1,7.41,1
518,5.99,2.91,2.46,2
519,5.85,0.56,1.55,1
520,3.58,0.56,1.49,2
521,17.48,2.04,6.31,2
522,7.69,1.48,2.83,2
523,8.45,1.59,2.01,2
524,7.62,2.68,2.08,2
525,10.41,1.85,1.38,2
526,9.05,3.11,2.31,2
527,8.12,1.34,4.03,2
528,14.1,1.69,3.42,1
529,10.67,6.21,16.41,1
530,25.77,4.82,2.54,2
531,13.68,4.21,3.91,2
532,18.63,3.57,3.3,2
533,18.36,2.45,4.66,2
534,12.79,0.28,3.32,1
535,13.4,3.13,1.74,1
536,16.24,4.03,5.41,1
537,3.44,1.6,1.4,1
538,19.51,3.75,5.94,2
539,12.99,2.66,5.09,1
540,17.47,3.68,2.39,2
541,8.45,2.25,4.04,1
542,7.04,1.61,2.27,2
543,22.62,3.59,10.88,1
544,31.68,0.96,5.28,1
545,9.26,2.24,1.26,1
546,11,1.13,4.46,1
547,14.21,2.53,7.72,2
548,21.25,5.05,18.84,1
549,22.63,0.63,5.89,1
550,29.72,7.46,17.94,2
551,6.76,2.14,2.29,1
552,12.31,0.98,3.27,2
553,21.57,7.93,7.42,2
554,10.57,3.15,3.98,1
555,7.46,3.63,2.09,2
556,7.66,0.47,2.06,2
557,2.67,1.75,2.18,1
558,9.68,8.8,11.11,1
559,2.9,0.7,0.77,2
560,18.13,6.67,5.25,2
561,6.69,0.41,1.42,2
562,7.61,2.86,0.71,1
563,7.28,2.1,4.55,1
564,1.81,3.21,2.27,1
565,14.16,8.47,4.57,1
566,18.14,5.09,6.56,1
567,9.28,1.15,3.95,1
568,8.19,2.82,1.45,2
569,24.79,5.12,7.23,2
570,12.47,5.23,6.87,1
571,16.43,4.17,2.43,1
572,6.09,2.5,1.27,1
573,17.02,2.36,13.55,2
574,11.84,2.25,3,1
575,28.47,5.84,2.57,2
576,14.3,1.44,2.73,1
577,7.1,0.58,1.8,1
578,9.38,0.34,6.53,1
579,9.2,1.61,3.14,1
580,14.9,0.87,3.32,2
581,7.38,2.67,1.79,2
582,7.37,1.2,1.1,1
583,10.16,4.48,3.01,1
584,37.19,10.31,11.47,1
585,33.67,4.27,3.31,2
586,6.72,2.01,1.56,2
587,8.81,2.21,3.48,1
588,19.26,3.84,7.66,1
589,10.33,3.18,3.23,2
590,6.11,3.36,1.35,2
591,16.36,5.93,2.62,2
592,10.37,1.03,2.41,2
593,17.66,1.34,4.52,1
594,13.8,2.15,2.62,1
595,18.18,3.63,2.72,1
596,6.86,0.9,2.31,1
597,11.18,0.79,4.5,1
598,18.17,3.36,1.74,1
599,11.28,1.86,2.92,2
600,25.17,7.5,6.32,2
601,6.45,2.71,3.58,2
602,15.75,7.18,5.25,1
603,8.68,5.67,3.97,2
604,8.9,0.82,2.48,1
605,26.3,2.79,5.26,2
606,9.68,4.54,9.82,1
607,27.11,2,4.51,1
608,6.58,1.67,1.41,2
609,7.96,1.48,2.65,2
610,5.66,2.51,1.6,1
611,22.76,2.62,5.3,2
612,14.49,2.51,3.65,1
613,16.83,2.59,8.07,2
614,4.83,2,3.87,1
615,11.14,2.76,3.04,1
616,7.15,1.55,3.48,1
617,7.09,0.33,2.63,1
618,10.03,3.25,1.5,2
619,13.1,4,2.09,2
620,19.01,6.27,5.63,1
621,11.24,1.24,2.17,2
622,10.37,1.58,3.12,1
623,7.79,5.45,6.87,2
624,10.07,2.1,3.7,1
625,6.77,3.99,2.16,1
626,4.23,4.36,6.23,1
627,14.34,3.06,2.4,2
628,8.57,2.49,2.87,1
629,20.62,3.32,4.23,1
630,23.55,3.78,3.95,2
631,10.71,3.47,4.47,2
632,15.12,8.12,10.48,1
633,26.13,16.06,18.83,1
634,10.13,2.94,0.76,1
635,8.92,1.16,4.62,1
636,15.83,5.17,8.05,1
637,14.09,4.01,2.82,1
638,32.59,4.99,10.56,1
639,8.35,1.13,1.61,2
640,14.73,4.16,3.82,2
641,8.3,2.86,0.83,2
642,6.74,3.72,3.03,2
643,12.79,4.06,2.33,2
644,4.62,2.68,1.28,1
645,15.8,4.89,4.21,1
646,6.96,2.2,1.05,2
647,7.13,2.77,2.22,2
648,5.8,1.46,2.01,2
649,3.09,1.92,0.37,1
650,20.56,4.4,3.52,2
651,10.51,3.51,2.25,1
652,18.36,3.21,1.51,2
653,11.63,1.11,3.08,2
654,11.43,1.81,2.38,2
655,35.1,3,10.07,1
656,3.81,3.15,2.03,1
657,9.27,2.55,1.43,1
658,10.99,1.34,6.43,2
659,16.18,1.21,3.31,1
660,15.95,4.29,6.41,2
661,10.91,0.22,3.64,1
662,4.65,2.58,0.68,2
663,5.37,2.96,1.53,2
664,10.2,3.9,3.09,2
665,12.25,6.69,4.38,2
666,6.2,4.02,3.89,2
667,17.41,4.12,12.37,2
668,4.36,2.56,0.83,2
669,6.47,0.85,2.66,1
670,17.42,3.84,5.3,2
671,7.55,1.46,1.36,1
672,17.39,2.99,2.67,2
673,4.57,0.48,1.95,1
674,13.04,3.72,2.93,1
675,5.28,2.95,2.16,1
676,8.29,4.23,4.68,2
677,14.91,1.77,6.17,2
678,3.93,2.62,1.7,2
679,11.39,1.4,5.26,2
680,6.09,2.4,1.39,1
681,28.15,2.7,8.98,1
682,12.57,0.8,2.13,2
683,16.16,2.79,3.32,2
684,9.53,2.09,2.57,1
685,15.47,2.39,4.73,2
686,19.03,4.13,6.04,1
687,8.95,1.55,1.59,2
688,10.69,4.09,1.91,2
689,12.94,2.44,6.37,2
690,11.01,2.5,2.61,1
691,10.97,2.43,2.53,1
692,8.99,12.09,10.83,1
693,30.37,3.66,5.76,1
694,6.82,2.03,1.53,2
695,12.76,4.92,6.57,2
696,6.3,1.6,1.61,2
697,15.2,0.96,3.23,2
698,12.27,3.15,2.98,2
699,10.9,2.49,5.79,2
700,18.73,5.65,3.79,1
701,9.34,13.43,6.44,2
702,21.75,4.25,4.78,2
703,6.45,1.76,2.93,2
704,4.49,3.52,1.56,2
705,21.12,2.21,3.33,1
706,13.04,1.52,2.35,2
707,34.02,5.01,18.12,2
708,5.4,2.34,1.85,2
709,24.88,2.45,3.79,2
710,24.03,4.73,2.73,1
711,2.08,1.71,0.74,2
712,7.44,1.2,2.13,1
713,10.83,5.72,4.17,1
714,17.39,3.77,3.56,2
715,13.52,5.74,7.21,2
716,9.53,3.45,4.37,1
717,20.32,3.08,5.27,2
718,10.37,3.75,5.61,1
719,10.36,1.34,4.69,1
720,3.2,2.13,1.63,1
721,4.97,3.96,1.2,2
722,9.39,3.37,2.93,1
723,10.61,2.22,4.07,1
724,13.22,3.32,3.73,2
725,21.89,2.94,3.49,1
726,21.68,4.4,5.1,1
727,7.36,2.43,3.98,1
728,17.48,3.14,11.24,1
729,19.39,4.59,9.59,1
730,14.48,1.88,7.03,1
731,2.47,2.48,1.31,1
732,13.13,2.29,1.47,2
733,7.13,2.34,1.63,1
734,16.63,4.01,3.66,2
735,7.75,0.28,2.39,2
736,26.87,7.59,5.71,1
737,19.78,3.21,3.83,2
738,16.49,3.22,6.05,2
739,19.06,2.03,4.43,1
740,7.3,2.08,2.51,2
741,7.49,1.79,2.69,1
742,8.29,3.88,3.99,1
743,7.1,1.95,2.64,1
744,13.64,4.46,4.39,1
745,7.91,1.22,1.57,1
746,11.69,3.12,2.77,1
747,7.94,2.2,2,1
748,12.37,0.62,3,2
749,12.5,1.71,3.19,2
750,9.37,2.3,3.18,2
751,16.53,2.58,3.95,1
752,18.51,1.37,2.96,2
753,13.96,5.42,5.47,1
754,4.33,3.25,2.22,2
755,12.6,1.32,2.5,1
756,19.66,2.24,3.2,1
757,8.62,2.03,2.13,1
758,5.82,3.02,1.6,1
759,4.72,2.61,2.86,2
760,16.06,5.24,8.64,1
761,5.17,1.14,1.59,1
762,9.28,2.74,2.06,1
763,12.67,1.33,2.65,1
764,9.26,2.26,1.7,1
765,8.94,4.01,1.97,1
766,24.76,9.08,10.49,2
767,10.98,2.18,1.6,2
768,11.89,4.74,3.14,1
769,8.89,3.62,1.29,2
770,22.91,0.63,3.54,1
771,24.73,3.48,3.69,2
772,26.91,4.94,5.92,1
773,13.39,6.71,10.07,2
774,11.32,3.44,2.93,2
775,6.49,1.19,0.9,2
776,27.6,6.45,9.6,2
777,3.7,0.99,0.8,2
778,8.05,1.08,2.97,2
779,5.19,3.09,2.46,1
780,6.44,2.29,2.43,1
781,12.21,3.53,2.22,1
782,21.47,5.43,5.19,2
783,21.02,3.93,5.02,2
784,13.87,2.34,1.98,2
785,5.98,1.08,1.72,1
786,23.39,3.47,7.43,1
787,15.48,5.18,2.01,2
788,28.5,2.32,6.4,1
789,3.35,2.29,1.34,1
790,31.37,3.61,3.84,1
791,10.89,1.11,2.56,1
792,16.17,2.2,2.51,1
793,14.91,2.47,5.47,1
794,7.71,0.82,0.82,2
795,27.12,2.28,2.16,2
796,6.2,3.12,2.11,1
797,5.01,1.44,2.03,2
798,8.74,2.26,4.02,2
799,9.7,1.85,2.11,1
800,9.95,3.59,2.88,2
801,4.97,3.34,3,1
802,10.76,1.74,3.33,1
803,10.48,3.55,1.13,2
804,3.86,3.69,3,1
805,25.72,12.55,8.88,1
806,7.48,1.23,1.43,2
807,11.45,2.14,4.02,1
808,16.59,1.39,2.47,2
809,11.84,1.99,4.66,2
810,10.36,1.46,4.39,1
811,8.42,3.15,2.45,2
812,13.25,3.18,4.9,2
813,8.88,1.12,1.89,1
814,23.41,3.85,8.51,1
815,11.57,4.66,4.46,2
816,9.81,2.39,2.33,1
817,6.66,4.1,3.2,2
818,6,1.36,3.1,2
819,17.15,1.72,4.08,2
820,8.3,1.54,1.69,1
821,13.51,2.2,2.93,1
822,11.09,0.71,2.07,1
823,38.59,4.64,9.51,2
824,16.5,2.48,2.92,1
825,5.49,2.05,2.16,2
826,7.43,3.34,2.63,2
827,14.83,2.08,8.49,2
828,2.49,1.14,1.39,2
829,11.55,0.93,2.3,2
830,8.12,3.61,3.9,2
831,6.88,1.11,1.52,1
832,13.13,3.86,3.22,1
833,18.57,0.56,5.99,1
834,17.9,3.7,7.55,2
835,9.69,0.68,2.33,1
836,3.79,2.59,1.96,1
837,15.6,2.76,3.32,2
838,9.18,2.68,1.69,2
839,7.01,0.49,1.78,1
840,10.54,1.74,2.04,1
841,17.23,2.7,2.33,1
842,21.22,5.41,6.39,2
843,7.92,3.56,5.82,2
844,10.56,1.03,3.46,1
845,6.07,1.05,4.11,2
846,6.31,0.63,2.53,1
847,15.63,0.83,3.67,2
848,13.51,3.96,1.89,1
849,9.8,2.47,2.29,1
850,8.35,1.81,3.11,1
851,19.19,4.04,9.42,1
852,7.63,3.47,2.52,1
853,16.32,3.05,2.69,2
854,8.61,3.18,1.86,1
855,15.84,3.09,3.97,1
856,23.27,4.58,4.92,2
857,14.61,3.07,3.42,2
858,18.12,4.34,3.09,1
859,18.33,1.68,4.42,2
860,5.59,1.56,1.97,2
861,13.12,2.41,1.15,2
862,10.87,3.17,3.67,2
863,11.33,1.58,3.04,1
864,8.38,2.41,2.03,2
865,12.83,2.73,2.63,1
866,23.16,7.96,13.93,2
867,15.94,4.4,3.09,1
868,9.81,1.76,1.64,1
869,1.82,1.17,0.63,1
870,5.57,2.56,2.44,2
871,10.66,1.69,3.08,1
872,11.83,1.96,3.24,1
873,7.18,2.22,1.53,1
