custid,age,gender,ms,child,zone,bad
169,1,1,2,2,18,0
170,3,2,2,2,9,0
171,1,2,1,1,3,0
172,2,2,1,1,4,0
173,1,1,2,1,12,0
174,1,2,2,2,1,0
175,1,2,2,1,12,0
176,2,2,1,1,12,0
177,1,1,1,1,2,0
178,2,2,2,2,4,0
179,3,1,2,2,2,0
180,2,1,2,2,18,1
181,2,1,1,1,1,0
182,2,1,2,1,20,0
183,2,1,1,1,18,0
184,1,2,1,1,13,0
185,2,2,1,1,20,0
186,1,2,1,1,9,0
187,3,1,1,1,16,0
188,2,1,2,2,2,0
189,3,1,2,2,11,0
190,1,1,1,1,9,0
191,2,2,2,2,1,1
192,1,2,2,2,18,0
193,3,1,1,1,4,0
194,3,1,2,2,6,1
195,1,2,1,1,2,0
196,3,1,2,1,2,0
197,1,1,2,1,15,0
198,2,1,2,2,13,0
199,1,1,2,1,7,0
200,1,1,2,2,8,0
201,3,1,2,1,4,0
202,1,1,1,1,2,1
203,1,1,2,1,14,0
204,1,1,2,1,1,0
205,2,2,2,1,17,0
206,1,2,1,1,13,0
207,3,1,1,1,10,0
208,2,1,2,1,9,0
209,3,1,1,1,14,0
210,1,1,2,2,3,0
211,1,2,2,2,1,0
212,1,2,1,1,15,0
213,2,1,2,1,19,0
214,1,1,1,1,20,0
215,3,1,2,2,11,0
216,1,2,1,1,6,0
217,2,1,2,1,16,0
218,2,2,1,1,6,0
219,3,1,2,1,16,0
220,3,1,2,2,1,0
221,2,1,1,1,10,0
222,2,1,2,2,19,0
223,3,1,1,1,6,0
224,3,2,1,1,1,0
225,2,2,1,1,1,1
226,1,2,2,2,16,0
227,2,1,1,1,2,0
228,3,2,2,1,12,0
229,1,2,1,1,13,0
230,3,2,2,2,8,0
231,3,1,1,1,13,0
232,1,2,2,2,3,1
233,1,2,1,1,6,0
234,1,2,1,1,7,0
235,1,1,1,1,4,0
236,1,2,1,1,4,0
237,2,2,1,1,7,0
238,2,1,2,2,2,1
239,1,2,2,2,18,0
240,2,2,2,2,14,0
241,2,2,2,2,17,0
242,2,1,2,2,15,0
243,3,1,2,2,16,0
244,1,1,2,2,13,0
245,1,2,1,1,19,0
246,2,2,1,1,11,0
247,2,2,2,2,18,0
248,2,1,1,1,14,0
249,1,1,1,1,19,0
250,1,2,2,1,15,0
251,3,1,1,1,13,0
252,3,1,2,1,9,0
253,2,2,2,2,6,0
254,3,2,2,1,18,0
255,2,1,2,2,13,0
256,1,1,1,1,8,0
257,2,1,1,1,4,0
258,3,1,1,1,18,0
259,1,2,2,2,7,0
260,1,1,2,1,8,0
261,1,2,1,1,12,0
262,3,2,2,1,7,0
263,2,1,2,2,3,0
264,1,1,1,1,15,0
265,1,1,1,1,2,0
266,2,1,1,1,4,0
267,3,1,2,2,2,0
268,3,1,1,1,18,0
269,1,1,2,2,1,0
270,3,1,1,1,11,0
271,1,2,2,1,11,0
272,1,2,1,1,1,0
273,2,1,1,1,15,0
274,1,1,2,1,4,0
275,1,1,1,1,6,0
276,2,2,1,2,18,0
277,2,2,2,2,9,0
278,3,1,1,1,15,0
279,2,2,1,1,13,0
280,3,1,1,1,16,0
281,2,2,2,1,15,1
282,1,2,1,1,8,0
283,1,2,2,2,14,0
284,1,2,1,1,13,0
285,1,1,2,1,19,0
286,2,2,1,1,3,0
287,2,1,2,2,8,0
288,2,1,1,1,20,0
289,3,2,1,1,17,0
290,3,1,1,1,19,0
291,3,2,1,1,12,0
292,3,1,1,1,9,0
293,1,2,2,1,8,0
294,2,2,1,1,16,0
295,2,1,1,1,18,1
296,1,1,1,1,2,0
297,2,2,2,2,18,0
298,2,1,2,2,8,0
299,3,2,2,2,13,1
300,2,1,2,1,4,0
301,2,1,2,2,20,1
302,1,1,1,1,5,0
303,1,2,2,2,5,0
304,3,2,1,1,16,0
305,2,2,1,1,14,0
306,1,1,1,1,11,0
307,1,1,1,1,4,0
308,2,1,1,1,8,0
309,1,2,1,1,4,0
310,2,2,2,2,13,0
311,2,1,1,1,1,0
312,2,1,2,2,3,0
313,3,1,2,2,8,0
314,1,2,1,1,16,0
315,1,1,1,1,10,0
316,1,2,2,1,16,0
317,3,1,2,1,19,0
318,2,2,1,1,15,0
319,3,2,1,1,11,0
320,2,2,2,2,10,0
321,1,2,2,1,5,0
322,2,2,2,1,13,0
323,2,2,1,1,13,0
324,2,1,1,1,17,1
325,3,1,2,2,6,0
326,1,2,2,1,11,0
327,1,1,2,1,8,0
328,2,1,1,1,2,0
329,1,2,2,2,13,0
330,2,2,2,2,10,0
331,1,1,2,2,3,0
332,1,2,2,2,11,0
333,2,2,1,1,8,0
334,1,1,1,1,10,0
335,2,1,1,1,9,0
336,3,2,2,2,3,0
337,2,1,1,1,14,0
338,1,1,1,1,1,0
339,1,2,1,1,18,0
340,3,1,1,1,17,0
341,3,1,1,1,17,0
342,2,2,2,1,5,0
343,2,2,2,1,20,0
344,1,2,1,1,8,0
345,2,2,2,1,17,0
346,3,2,1,1,18,0
347,1,1,2,2,14,0
348,3,1,1,1,7,0
349,3,1,2,1,13,0
350,2,1,1,1,4,0
351,2,1,2,1,2,0
352,3,2,2,1,9,0
353,3,1,1,1,13,0
354,1,1,1,1,18,0
355,2,2,1,1,3,0
356,2,2,2,2,9,0
357,2,2,2,1,15,0
358,1,1,2,1,20,0
359,1,1,2,1,13,0
360,3,1,2,1,19,0
361,3,1,1,1,16,0
362,2,1,2,2,12,0
363,2,2,2,2,5,0
364,2,1,2,2,7,0
365,3,2,1,1,9,1
366,1,1,1,1,1,0
367,2,1,1,1,18,0
368,1,2,1,1,1,0
369,3,2,1,1,3,0
370,1,2,1,1,14,0
371,3,2,1,1,4,0
372,1,2,1,1,6,0
373,2,2,1,1,1,0
374,1,2,2,1,13,0
375,2,2,1,1,18,0
376,1,2,2,2,18,0
377,3,2,1,1,5,0
378,3,1,2,1,17,0
379,3,2,1,1,10,0
380,2,2,1,1,11,0
381,2,2,2,1,5,0
382,1,2,1,1,15,0
383,3,1,2,1,9,1
384,2,1,1,1,7,0
385,1,1,1,1,18,0
386,1,2,2,1,1,0
387,3,1,1,1,19,0
388,1,2,1,1,5,0
389,1,2,2,2,15,0
390,2,2,2,1,18,0
391,1,2,1,1,20,0
392,1,2,2,1,9,0
393,3,1,1,1,15,0
394,3,1,1,1,16,0
395,2,2,2,2,5,0
396,3,2,2,1,8,0
397,2,1,2,2,19,0
398,2,2,2,2,1,0
399,1,1,1,1,3,0
400,2,1,1,1,14,0
401,3,1,1,1,20,0
402,1,2,1,1,20,0
403,2,2,2,1,13,0
404,1,1,1,1,6,0
405,3,2,1,1,6,0
406,1,1,1,1,15,0
407,3,2,1,1,9,0
408,3,1,2,1,6,0
409,1,2,2,1,3,0
410,1,2,2,2,1,0
411,2,2,1,1,18,0
412,2,1,1,1,6,0
413,3,2,2,1,7,0
414,1,2,2,2,19,1
415,3,2,2,1,16,0
416,1,2,2,2,18,0
417,3,2,2,2,13,0
418,2,2,1,1,18,0
419,1,1,1,1,15,0
420,2,1,1,1,8,0
421,3,1,2,1,2,1
422,1,2,1,1,7,0
423,3,1,2,1,18,0
424,3,1,1,1,1,0
425,2,2,1,1,14,0
426,2,2,1,1,15,0
427,3,2,2,2,20,0
428,1,2,2,1,15,0
429,3,1,1,1,19,1
430,2,2,1,1,6,0
431,2,1,2,1,17,0
432,2,2,1,1,17,0
433,1,2,2,2,13,0
434,1,1,1,1,12,0
435,3,2,2,1,3,0
436,2,1,1,1,11,0
437,2,2,1,1,2,0
438,2,1,1,1,9,0
439,3,1,1,1,11,0
440,3,1,2,2,1,0
441,3,2,1,1,12,0
442,2,2,2,1,14,0
443,3,2,2,1,3,0
444,1,2,1,1,13,0
445,1,2,2,1,4,0
446,3,2,2,2,18,0
447,2,1,2,2,16,0
448,2,1,1,1,12,0
449,1,1,1,1,1,1
450,3,1,2,1,18,1
451,3,1,2,2,10,0
452,1,2,2,1,3,0
453,1,2,1,1,20,0
454,2,1,2,2,11,0
455,1,2,2,1,6,1
456,2,1,2,2,14,0
457,2,1,1,1,6,0
458,1,1,1,1,8,0
459,1,2,1,1,2,0
460,2,2,1,1,18,0
461,1,2,1,1,10,0
462,2,2,1,1,8,0
463,3,1,1,1,13,0
464,1,2,2,1,7,0
465,2,1,1,1,17,0
466,3,1,1,1,2,0
467,3,1,2,2,20,0
468,2,1,1,1,10,0
469,1,2,2,2,11,0
470,2,1,2,1,10,0
471,2,2,1,1,9,0
472,2,2,2,1,19,0
473,3,1,2,1,14,0
474,3,2,2,2,1,0
475,2,2,2,2,11,0
476,2,1,2,1,10,0
477,3,1,2,1,15,0
478,2,1,2,2,11,0
479,1,2,2,1,20,0
480,2,2,1,1,7,0
481,1,1,1,1,12,0
482,3,2,1,1,14,0
483,2,1,2,1,18,0
484,2,2,2,1,13,0
485,1,2,2,1,3,0
486,1,1,2,2,2,0
487,2,1,2,1,2,0
488,1,2,2,2,13,0
489,3,2,2,2,5,0
490,1,1,1,1,2,0
491,3,1,2,1,14,0
492,2,2,2,1,13,0
493,3,2,1,1,2,0
494,3,1,1,1,9,0
495,1,1,2,2,14,0
496,1,2,1,1,11,1
497,3,1,2,2,14,0
498,2,2,1,1,9,0
499,1,2,2,1,16,0
500,1,1,2,2,8,0
501,2,2,1,1,7,0
502,3,1,2,1,1,0
503,3,1,1,1,19,0
504,2,1,2,2,10,0
505,1,1,1,1,20,0
506,3,1,2,1,6,0
507,3,2,1,1,2,0
508,2,1,2,1,19,0
509,3,1,1,1,7,0
510,2,2,2,2,10,0
511,3,2,1,1,13,0
512,3,1,2,1,20,0
513,1,2,2,1,20,0
514,2,2,2,1,10,0
515,3,1,1,1,12,0
516,1,1,2,2,5,0
517,3,1,2,2,9,0
518,2,2,2,1,19,0
519,2,1,1,1,7,0
520,1,2,1,1,16,0
521,1,1,1,1,1,0
522,3,2,1,1,1,0
523,1,1,1,1,15,0
524,2,2,1,1,6,0
525,3,1,2,1,14,0
526,3,2,1,1,3,0
527,1,2,2,2,16,0
528,1,1,1,1,19,0
529,3,2,1,1,13,0
530,3,1,2,2,20,0
531,1,1,1,1,18,0
532,1,1,1,1,11,1
533,2,2,2,1,16,0
534,1,2,2,2,3,0
535,1,1,2,1,3,0
536,3,1,1,1,5,0
537,2,2,2,2,9,0
538,2,2,1,1,13,1
539,3,2,1,1,12,0
540,3,1,2,2,18,1
541,3,2,1,1,10,0
542,2,2,2,2,1,0
543,3,2,2,2,6,0
544,2,2,1,1,10,0
545,3,1,1,1,4,0
546,3,1,2,2,11,0
547,1,1,2,2,19,0
548,3,1,1,1,16,0
549,2,1,1,1,5,0
550,2,1,1,1,12,0
551,1,2,1,1,7,0
552,3,2,2,1,11,0
553,1,1,1,1,19,0
554,3,2,1,1,5,0
555,1,2,1,1,9,0
556,2,1,1,1,17,0
557,3,2,1,1,15,0
558,3,2,2,2,15,0
559,3,1,1,1,6,1
560,2,2,1,1,15,0
561,2,2,2,2,4,0
562,1,2,2,2,6,0
563,2,2,1,1,8,0
564,3,2,2,2,10,0
565,1,2,2,2,4,0
566,1,1,2,2,20,0
567,3,2,1,1,19,0
568,3,1,1,1,20,0
569,2,1,2,1,17,0
570,3,1,1,1,9,0
571,2,1,1,1,20,0
572,1,2,1,1,6,0
573,3,2,1,1,13,0
574,3,1,1,1,19,0
575,2,2,1,1,20,0
576,2,1,1,1,2,0
577,1,1,1,1,8,0
578,1,1,2,1,15,0
579,2,2,2,1,13,0
580,3,2,1,1,8,0
581,3,1,2,2,7,0
582,2,1,1,1,2,0
583,1,2,2,2,8,0
584,2,2,1,1,2,0
585,2,1,1,1,3,0
586,2,1,1,1,11,0
587,3,2,1,1,4,0
588,2,2,2,2,11,0
589,1,2,1,1,12,0
590,2,1,2,1,3,1
591,1,1,1,1,16,0
592,2,2,2,2,5,0
593,1,1,2,2,9,0
594,3,1,2,2,18,0
595,2,1,2,1,5,0
596,3,1,1,1,4,0
597,2,1,2,2,4,0
598,1,1,2,2,17,0
599,3,1,2,2,1,0
600,2,2,1,1,14,0
601,3,1,2,2,3,0
602,1,2,1,1,10,0
603,3,1,2,2,16,0
604,1,2,2,2,7,0
605,3,2,2,2,8,0
606,2,1,2,2,19,0
607,3,1,2,2,5,0
608,3,2,1,1,3,0
609,1,2,2,2,13,0
610,2,2,2,1,11,0
611,2,1,2,2,11,0
612,3,1,2,1,14,0
613,3,2,2,1,11,1
614,2,2,1,1,5,0
615,3,2,1,1,7,0
616,2,1,1,1,8,0
617,1,2,2,1,19,0
618,1,2,2,2,12,1
619,1,1,1,1,17,0
620,2,1,1,1,6,0
621,2,1,2,2,11,0
622,3,2,2,1,18,0
623,2,2,1,1,19,0
624,3,2,1,1,12,0
625,1,1,1,1,1,0
626,3,1,2,2,20,0
627,2,1,2,1,3,0
628,3,1,1,1,6,0
629,3,1,1,1,8,0
630,1,1,1,1,9,0
631,2,1,2,1,1,0
632,2,2,2,1,13,0
633,1,2,2,2,15,0
634,1,1,1,1,14,0
635,1,2,2,1,4,0
636,1,1,1,1,2,0
637,3,2,2,1,5,0
638,1,2,1,1,4,0
639,1,1,1,1,8,0
640,1,2,2,1,13,0
641,2,2,2,2,16,0
642,2,2,1,1,20,0
643,2,2,1,1,18,0
644,1,1,2,2,8,0
645,3,1,2,2,17,0
646,1,1,1,1,18,0
647,3,1,2,2,13,0
648,1,1,1,1,12,0
649,1,1,2,1,13,0
650,2,2,2,1,8,0
651,1,1,1,1,16,0
652,2,2,1,1,5,0
653,1,1,1,1,20,0
654,2,2,2,1,11,0
655,3,2,1,1,19,0
656,3,1,1,1,8,0
657,3,1,2,1,9,0
658,3,2,1,1,8,0
659,2,1,2,1,5,0
660,1,1,2,2,2,0
661,2,2,2,1,17,0
662,2,2,2,2,18,0
663,2,1,2,2,18,0
664,1,2,1,1,8,0
665,1,2,1,1,3,0
666,3,1,2,1,1,0
667,3,2,2,2,1,0
668,2,2,1,1,3,0
669,1,2,1,1,13,0
670,1,1,1,1,16,0
671,2,2,2,1,19,0
672,2,1,2,2,9,0
673,2,1,1,1,7,0
674,2,1,1,1,5,1
675,2,1,2,1,5,0
676,3,2,1,1,2,0
677,3,1,1,1,14,0
678,1,1,1,1,9,1
679,2,1,1,1,20,0
680,2,1,2,2,16,0
681,1,2,2,1,3,0
682,2,1,2,1,3,0
683,2,1,1,1,17,0
684,2,1,2,1,15,0
685,2,1,1,1,14,0
686,2,2,2,1,20,1
687,1,1,2,1,8,0
688,1,2,1,2,12,0
689,3,2,2,1,7,0
690,3,1,1,1,3,0
691,1,2,1,1,17,0
692,2,2,1,1,2,0
693,1,1,1,1,3,0
694,1,1,1,1,16,0
695,2,1,1,1,4,0
696,2,2,2,2,20,0
697,1,1,1,1,9,0
698,3,1,2,2,8,0
699,3,2,2,1,8,0
700,1,1,1,1,17,0
701,2,1,1,1,11,0
702,3,1,2,2,12,0
703,2,2,2,2,17,0
704,2,1,1,1,14,0
705,1,2,2,2,12,0
706,3,1,1,1,9,0
707,1,2,1,1,6,0
708,2,1,1,1,16,0
709,1,2,2,2,8,0
710,1,1,2,2,4,0
711,1,1,1,1,3,0
712,3,1,1,1,7,0
713,1,1,2,1,3,0
714,3,1,1,1,7,0
715,1,1,2,1,4,0
716,3,2,1,1,2,0
717,1,2,1,1,11,0
718,1,2,1,1,1,0
719,2,2,1,1,15,0
720,3,1,2,1,1,0
721,2,2,1,1,13,0
722,3,2,1,1,12,0
723,2,2,1,1,5,0
724,1,2,2,2,3,0
725,1,1,2,1,2,0
726,2,2,2,1,9,0
727,2,1,1,1,13,0
728,1,2,1,1,18,0
729,1,1,1,1,1,0
730,3,1,1,1,3,0
731,3,2,1,1,10,0
732,3,1,1,1,5,0
733,1,2,2,2,10,0
734,1,1,1,1,14,0
735,2,2,2,1,7,0
736,3,1,1,1,12,0
737,2,2,1,1,3,0
738,1,2,1,1,6,0
739,1,2,1,1,11,0
740,3,1,1,1,19,0
741,1,1,1,1,2,0
742,3,2,2,2,14,0
743,3,1,2,1,17,0
744,3,2,1,1,7,0
745,2,2,2,1,15,0
746,1,1,2,1,15,0
747,2,1,1,1,11,0
748,1,1,2,1,19,0
749,2,1,1,1,13,0
750,1,1,1,1,10,0
751,3,2,2,1,2,1
752,2,2,2,1,2,0
753,1,2,1,1,19,0
754,1,1,2,1,1,0
755,2,1,2,1,6,0
756,1,2,1,1,2,1
757,2,1,2,2,15,0
758,1,2,2,1,3,0
759,1,2,1,1,4,0
760,1,1,1,1,6,0
761,1,1,2,1,15,0
762,2,2,1,1,19,0
763,1,2,1,1,16,0
764,1,2,2,2,17,0
765,1,1,2,1,12,0
766,1,2,2,1,8,0
767,1,2,1,1,2,0
768,3,1,2,2,12,0
769,1,2,2,2,2,0
770,2,1,2,2,20,0
771,3,2,1,1,8,0
772,1,2,2,1,17,0
773,3,1,2,2,8,0
774,1,2,2,2,11,0
775,3,2,2,2,12,0
776,3,1,2,2,9,0
777,1,2,2,1,6,0
778,3,1,1,1,7,0
779,2,1,1,1,17,0
780,2,1,2,2,7,0
781,1,2,2,2,2,0
782,1,2,1,1,12,0
783,1,2,1,1,14,0
784,2,2,1,1,19,0
785,1,2,1,1,2,0
786,2,1,2,2,3,0
787,1,1,1,1,16,0
788,2,1,1,1,5,0
789,1,2,2,1,14,0
790,1,1,2,1,9,0
791,2,2,2,2,18,0
792,2,2,1,1,6,0
793,3,2,2,2,4,0
794,2,2,1,1,13,0
795,3,1,2,1,10,0
796,1,2,2,2,17,0
797,2,2,1,1,20,0
798,1,2,2,1,12,0
799,3,2,2,1,13,0
800,1,2,1,1,7,1
801,2,1,2,1,1,0
802,1,1,1,1,10,0
803,1,2,1,1,11,0
804,3,1,2,2,7,0
805,1,1,1,1,19,0
806,1,1,1,1,12,0
807,2,2,2,1,10,0
808,1,1,1,1,8,0
809,2,1,1,1,5,0
810,1,2,2,2,9,0
811,1,1,2,1,13,0
812,2,1,1,1,18,0
813,2,2,1,1,11,0
814,2,1,1,1,3,0
815,1,2,1,1,8,0
816,1,2,1,1,5,0
817,3,2,2,1,10,0
818,2,1,2,2,12,0
819,2,1,1,1,11,0
820,1,2,1,1,12,0
821,1,1,2,1,3,0
822,1,1,2,1,18,0
823,3,1,2,2,19,0
824,1,1,2,1,19,0
825,2,1,2,1,7,0
826,3,1,2,2,8,0
827,1,2,2,2,12,1
828,2,1,2,1,3,0
829,3,2,2,1,17,0
830,3,2,1,1,8,0
831,2,2,1,1,8,0
832,2,2,2,1,19,0
833,3,2,1,1,3,0
834,2,2,1,1,15,0
835,2,1,2,1,9,0
836,1,2,1,1,13,0
837,1,1,2,2,17,0
838,3,2,2,2,1,0
839,3,2,2,1,13,0
840,3,2,2,1,2,1
841,1,2,2,2,2,0
842,1,2,2,1,4,1
843,3,1,1,1,16,0
844,2,1,1,1,5,0
845,1,1,1,1,4,0
846,2,1,2,2,11,0
847,3,1,2,2,8,0
848,1,1,1,1,13,0
849,2,1,2,1,16,0
850,1,2,2,1,4,0
851,2,1,1,1,13,0
852,1,1,2,1,17,0
853,3,1,2,1,12,0
854,2,2,2,1,1,0
855,3,2,2,2,4,0
856,3,1,2,1,2,0
857,2,1,1,1,11,0
858,3,1,2,1,2,1
859,2,2,1,1,6,1
860,3,2,2,1,6,0
861,2,1,2,1,19,0
862,2,1,2,2,18,0
863,1,1,1,1,15,0
864,1,2,2,1,2,0
865,1,1,2,1,8,1
866,1,2,1,1,19,0
867,3,1,2,1,3,0
868,2,2,1,1,18,0
869,1,1,2,2,3,0
870,2,2,1,1,9,0
871,3,2,1,1,11,0
872,3,2,2,2,13,0
873,3,2,2,2,12,0
874,3,2,2,1,15,0
875,2,1,1,1,8,0
876,1,1,2,1,6,0
877,3,1,2,1,1,0
878,1,1,2,2,5,0
879,1,1,1,1,14,0
880,1,1,1,1,14,0
881,1,1,1,1,20,0
882,1,1,2,1,20,0
883,3,1,1,1,5,0
884,2,2,1,1,6,0
885,2,1,2,2,16,0
886,3,2,2,1,3,0
887,3,1,1,1,20,0
888,2,2,2,2,11,0
889,2,1,2,1,16,0
890,2,2,1,1,15,0
891,3,2,2,2,2,0
892,2,2,2,1,4,0
893,2,2,1,1,3,0
894,3,1,1,1,17,1
895,2,2,2,2,1,0
896,3,1,2,2,12,0
897,3,1,2,1,14,0
898,3,1,1,1,18,0
899,1,1,1,1,16,0
900,2,1,2,1,6,1
901,3,2,1,1,18,0
902,1,1,2,2,13,1
903,1,1,1,1,1,0
904,2,1,1,1,3,0
905,3,2,1,1,19,0
906,1,2,2,2,4,0
907,2,2,1,1,14,0
908,3,2,2,2,14,0
909,1,2,1,1,4,0
910,3,2,1,1,13,0
911,2,1,1,1,2,0
912,3,1,2,2,18,0
913,3,1,1,1,14,0
914,3,1,2,2,12,0
915,1,2,1,1,5,0
916,2,2,2,1,4,0
917,1,1,1,1,14,0
918,3,2,1,1,2,0
919,3,1,1,1,16,0
920,3,2,2,2,6,0
921,2,1,1,1,2,0
922,3,1,1,1,20,0
923,3,2,2,1,18,0
924,2,2,2,1,11,1
925,1,2,2,2,2,1
926,3,1,2,1,18,0
927,1,1,2,2,13,0
928,3,2,1,1,15,0
929,2,1,1,1,18,0
930,3,2,2,2,10,0
931,1,1,2,1,6,0
932,3,1,2,2,19,1
933,3,2,1,1,5,0
934,1,1,1,1,8,0
935,3,1,1,1,13,0
936,2,1,2,1,13,0
937,3,2,1,1,10,0
938,3,1,1,1,7,1
939,3,2,2,2,13,0
940,2,2,1,1,13,1
941,3,2,2,2,16,0
942,1,1,2,2,7,0
943,3,2,1,1,13,0
944,1,1,2,2,16,0
945,1,1,1,1,18,0
946,1,1,2,1,3,0
947,1,2,1,1,10,0
948,1,2,1,1,8,0
949,2,2,1,1,7,0
950,3,1,2,2,10,0
951,1,1,1,1,1,0
952,2,2,1,1,10,0
953,3,2,2,1,13,0
954,3,1,2,2,6,0
955,2,1,1,1,7,0
956,2,2,1,1,16,0
957,1,2,2,2,1,0
958,2,2,1,1,1,0
959,1,1,1,1,20,0
960,2,1,1,1,5,0
961,2,2,1,1,7,0
962,1,1,2,2,16,0
963,1,2,2,1,2,0
964,1,2,1,1,14,0
965,1,2,2,1,7,0
966,1,2,2,1,6,0
967,3,1,2,2,13,0
968,1,2,2,2,12,1
969,1,2,1,1,17,0
970,1,1,2,1,12,0
971,2,1,2,1,20,0
972,3,2,2,1,2,0
973,2,1,1,1,13,0
974,2,1,2,1,2,0
975,2,1,1,1,12,0
976,1,2,1,1,18,0
977,3,2,1,1,5,1
978,2,2,1,1,13,0
979,2,2,2,1,19,1
980,1,2,1,1,2,0
981,2,1,1,1,8,1
982,3,1,2,1,3,0
983,3,2,2,2,17,0
984,2,2,2,1,4,0
985,3,2,1,1,18,0
986,1,1,2,1,4,0
987,1,2,2,2,12,0
988,2,1,1,1,4,1
989,3,1,2,2,20,0
990,3,1,2,2,12,0
991,3,1,1,1,20,0
992,3,2,1,1,7,0
993,3,1,1,1,6,0
994,1,2,2,2,20,0
995,3,2,2,2,18,1
996,1,2,2,2,17,0
997,2,1,1,1,10,0
