custid,veh,house,selfemp,account,deposit,emp,address,branch,ref
57,2,2,1,1,1,9,1,1,1
58,2,2,2,2,1,16,13,1,2
59,2,1,1,2,2,18,7,1,1
60,1,1,1,1,2,10,20,1,1
61,1,1,1,2,1,10,11,1,2
62,1,2,1,2,1,13,2,1,2
63,2,1,2,2,1,4,1,1,2
64,1,1,2,2,2,4,9,1,1
65,2,1,1,1,2,5,7,1,2
66,2,1,2,1,1,12,7,1,2
67,2,2,2,1,1,2,4,2,1
68,2,1,11,2,1,20,9,2,2
69,2,1,1,1,1,9,4,2,2
70,2,1,1,1,1,1,2,1,1
71,1,1,1,2,2,3,9,1,1
72,2,2,1,1,2,5,10,1,1
73,1,1,2,1,2,26,21,1,2
74,2,2,1,1,1,1,5,1,1
75,1,2,2,1,1,13,10,2,1
76,1,2,1,1,2,13,26,2,1
77,1,2,2,2,1,2,2,2,1
78,1,2,2,1,1,2,10,1,2
79,2,1,2,2,1,14,3,1,2
80,1,2,1,1,1,16,10,2,1
81,2,1,2,2,2,5,3,1,1
82,2,2,2,2,2,12,13,1,1
83,2,2,1,2,2,7,3,2,1
84,1,2,2,1,1,4,17,2,1
85,1,1,1,1,2,5,3,2,2
86,2,2,2,2,2,10,16,1,1
87,2,2,2,1,2,5,5,1,1
88,2,1,1,2,1,6,18,1,2
89,1,1,2,1,2,13,13,2,2
90,1,1,2,1,2,0,2,2,2
91,1,1,1,1,1,3,11,2,1
92,2,1,1,2,1,2,6,1,1
93,1,1,1,1,2,5,6,1,1
94,2,2,1,1,2,1,6,1,1
95,1,2,1,1,1,2,1,2,1
96,2,2,2,2,2,18,6,2,2
97,1,1,1,2,1,14,1,1,2
98,1,1,1,1,1,14,8,1,1
99,2,2,2,2,2,4,10,1,1
100,1,2,1,1,2,4,6,1,1
101,1,2,1,2,1,22,9,2,1
102,1,2,1,1,1,7,10,2,1
103,1,1,2,2,1,9,8,1,1
104,1,2,1,1,2,21,12,2,2
105,1,1,1,2,2,23,17,1,1
106,1,2,2,2,2,8,17,1,1
107,2,2,1,1,1,10,19,1,1
108,2,2,1,2,2,4,7,1,1
109,2,1,1,2,1,12,14,2,1
110,1,2,2,1,2,9,14,1,1
111,1,2,1,2,2,3,5,1,1
112,1,1,1,2,2,7,1,2,1
113,1,2,2,2,1,0,2,1,2
114,1,1,1,1,2,13,11,2,2
115,1,2,1,1,1,16,25,2,1
116,1,2,2,2,2,4,7,1,1
117,1,2,1,1,2,10,9,1,1
118,1,1,2,2,2,16,17,2,2
119,2,1,2,2,1,1,5,1,2
120,2,2,1,2,2,1,1,2,2
121,1,2,1,1,2,13,19,2,1
122,1,2,2,1,1,3,0,2,1
123,1,1,1,1,2,7,4,2,2
124,1,1,2,2,1,2,5,2,1
125,1,2,2,1,2,5,10,2,2
126,2,1,1,1,2,7,12,1,1
127,2,1,1,1,1,8,2,2,1
128,2,1,2,2,2,9,3,2,2
129,2,2,2,2,1,5,2,1,1
130,2,2,1,1,2,20,2,2,1
131,1,2,2,1,1,1,7,1,1
132,1,2,2,2,2,6,11,1,2
133,1,1,1,1,2,18,19,2,1
134,2,2,1,2,1,18,21,1,2
135,2,2,1,2,2,7,3,1,2
136,1,2,1,2,2,6,7,2,2
137,2,1,1,2,2,1,1,2,1
138,2,2,1,1,2,13,2,1,2
139,1,1,1,2,2,9,11,2,2
140,1,2,2,2,1,4,4,1,1
141,1,2,1,2,1,0,3,2,1
142,2,1,1,2,2,9,6,1,1
143,2,2,1,2,2,16,22,1,2
144,2,1,1,1,2,12,9,2,2
145,1,2,1,1,1,17,18,1,2
146,2,1,2,1,2,6,3,1,2
147,1,2,2,1,1,2,3,2,1
148,2,1,2,1,2,3,9,2,2
149,2,2,1,1,2,12,1,2,2
150,2,1,1,1,2,8,5,2,1
151,1,2,1,1,2,15,15,1,2
152,2,2,2,1,2,14,24,1,1
153,2,1,1,2,2,5,11,1,1
154,2,2,1,2,1,9,6,2,2
155,2,1,1,2,1,3,5,1,2
156,1,1,1,1,1,14,4,1,1
157,2,2,1,1,2,13,11,2,2
158,1,1,2,2,1,9,3,1,1
159,1,1,1,2,2,9,5,2,1
160,1,2,1,2,2,9,5,1,1
161,2,1,2,2,1,4,1,1,1
162,2,2,2,1,2,6,9,1,1
163,1,2,2,2,1,2,1,2,1
164,1,1,1,1,2,9,6,1,2
165,2,1,2,2,2,1,8,1,1
166,1,2,2,2,2,13,12,1,1
167,1,1,2,2,1,5,2,1,1
168,1,2,1,1,2,4,9,1,2
169,1,1,1,2,2,14,3,1,2
170,2,1,2,2,2,16,10,2,2
171,2,2,2,2,1,7,9,2,1
172,2,2,1,1,1,5,10,2,2
173,1,1,2,1,2,1,0,1,2
174,1,2,2,2,1,14,8,1,2
175,1,1,2,2,1,7,15,1,2
176,2,1,2,2,2,7,1,1,1
177,1,1,1,1,1,2,2,2,2
178,1,1,1,2,2,7,3,2,2
179,11,2,2,1,1,14,5,1,2
180,2,1,1,1,1,2,14,1,1
181,2,2,2,2,1,13,11,2,2
182,2,1,2,1,1,9,20,2,1
183,2,2,2,1,2,17,21,2,2
184,1,1,1,2,1,11,7,2,1
185,1,2,2,1,2,1,8,1,1
186,2,1,1,1,1,13,10,2,2
187,1,1,2,2,2,15,21,1,1
188,2,1,2,2,1,12,8,2,2
189,1,1,2,1,2,1,5,1,2
190,2,1,1,1,2,19,2,2,2
191,2,1,2,1,1,4,4,1,1
192,1,1,2,1,1,1,8,1,2
193,2,2,1,2,2,10,0,1,1
194,2,1,1,2,1,2,6,2,1
195,1,2,2,1,2,14,2,2,1
196,2,1,2,2,2,4,0,1,1
197,1,2,1,2,2,1,1,2,1
198,1,2,2,2,2,9,11,2,2
199,2,1,2,1,1,9,27,1,1
200,1,1,1,2,1,6,7,1,2
201,1,1,1,2,2,4,8,2,1
202,1,1,2,1,1,9,10,2,2
203,1,2,1,2,1,4,23,2,2
204,1,2,1,2,2,1,17,2,2
205,1,1,2,1,1,8,2,1,1
206,1,1,1,1,1,18,12,2,1
207,1,1,1,1,2,7,7,2,1
208,2,1,2,1,2,7,6,2,1
209,2,2,1,2,2,14,11,2,1
210,1,1,1,1,2,7,0,1,1
211,1,2,1,2,1,16,7,2,1
212,1,2,2,2,1,5,4,2,2
213,2,2,2,1,1,1,11,2,1
214,2,2,1,1,2,6,4,1,2
215,1,2,2,2,1,17,4,2,1
216,2,1,2,2,1,13,9,1,2
217,2,1,2,2,2,15,25,2,1
218,1,2,2,2,2,21,23,2,1
219,1,2,1,1,1,8,9,1,2
220,2,1,2,2,2,1,6,1,2
221,2,1,1,2,1,11,6,1,2
222,2,2,2,1,2,0,27,2,2
223,2,2,2,2,2,18,26,1,1
224,1,2,1,2,2,6,7,1,2
225,1,2,2,1,2,10,5,1,1
226,2,2,2,1,2,6,2,1,2
227,2,2,1,2,2,11,9,2,1
228,2,1,2,1,1,6,6,1,1
229,2,2,2,2,2,1,4,2,2
230,1,1,1,2,2,8,4,2,2
231,2,2,1,2,1,10,11,1,1
232,2,2,1,2,1,3,12,1,1
233,2,1,2,2,2,9,17,1,2
234,1,1,1,2,1,6,2,2,2
235,2,2,1,2,2,11,10,2,2
236,2,2,2,2,2,8,1,1,1
237,1,1,2,2,1,5,4,2,1
238,2,1,2,2,2,2,11,1,1
239,1,2,2,1,1,12,5,1,1
240,2,1,1,2,2,7,20,1,2
241,1,1,1,1,1,5,5,1,1
242,1,1,2,2,1,10,12,2,2
243,1,1,1,1,2,7,11,1,2
244,2,1,1,2,2,22,20,2,2
245,2,2,1,1,1,3,5,2,2
246,1,1,2,1,1,13,5,2,2
247,2,1,1,2,2,16,17,2,1
248,2,1,2,2,2,5,4,1,2
249,1,1,1,2,2,15,11,1,1
250,1,2,2,2,2,10,16,1,2
251,2,1,2,1,2,23,17,2,2
252,2,1,1,2,2,14,3,1,1
253,1,2,1,2,1,14,3,2,2
254,2,1,2,2,2,1,1,1,1
255,2,2,2,2,2,6,14,2,2
256,1,1,2,2,2,19,1,1,2
257,2,1,1,1,2,18,19,2,1
258,1,2,1,2,1,2,15,1,2
259,2,2,1,2,1,16,25,2,2
260,1,1,2,2,1,11,2,1,1
261,2,2,2,1,2,15,2,1,1
262,2,1,1,1,1,8,7,1,1
263,1,2,2,2,2,9,7,2,2
264,1,2,2,2,2,9,12,1,2
265,1,1,1,1,1,10,7,2,2
266,2,1,1,1,1,7,1,1,2
267,2,1,2,1,2,0,2,1,1
268,2,1,1,1,2,10,8,1,2
269,1,2,1,1,2,2,10,2,1
270,2,1,2,1,2,20,16,1,2
271,1,1,2,1,2,22,24,2,2
272,2,1,2,2,2,5,1,1,2
273,2,1,2,1,2,7,4,1,2
274,1,2,2,2,2,17,11,2,2
275,1,1,2,1,2,7,8,1,2
276,2,1,2,1,1,2,0,2,1
277,1,2,2,1,2,2,6,2,1
278,1,2,1,2,2,15,0,1,2
279,2,2,2,2,1,0,11,2,1
280,2,2,2,1,2,14,2,2,2
281,1,1,2,2,1,11,6,1,2
282,1,1,2,1,1,16,2,2,2
283,2,2,1,1,2,8,3,1,2
284,2,1,1,2,2,2,7,1,1
285,1,2,2,1,2,10,0,1,2
286,2,1,2,2,1,9,17,2,2
287,2,1,2,2,1,12,8,2,2
288,2,2,2,1,2,2,16,1,1
289,1,1,2,2,2,16,15,2,1
290,2,2,1,1,1,11,6,2,1
291,1,1,1,2,1,3,4,1,2
292,1,1,2,2,1,9,8,1,2
293,2,1,2,1,1,20,26,2,2
294,2,1,2,2,1,4,2,1,1
295,2,2,1,1,1,11,13,1,2
296,2,1,1,2,1,10,14,1,2
297,2,1,2,1,2,3,1,1,2
298,2,2,1,1,1,1,10,2,2
299,2,1,1,1,1,4,5,2,1
300,1,2,1,2,2,21,3,2,1
301,2,1,2,2,1,29,19,1,1
302,1,1,1,2,2,7,25,1,2
303,1,1,1,2,2,23,20,2,1
304,2,2,1,1,2,7,3,2,1
305,2,2,1,2,2,5,1,2,2
306,1,2,1,1,1,9,4,2,2
307,1,1,1,2,2,12,13,1,1
308,2,1,2,1,1,16,20,1,1
309,2,2,1,1,1,10,1,1,1
310,2,2,1,2,2,5,20,2,1
311,2,1,1,2,2,20,15,1,1
312,1,1,2,1,1,18,9,1,2
313,1,1,2,1,1,3,1,1,2
314,1,1,2,1,1,6,10,2,2
315,2,2,1,1,1,1,6,1,2
316,2,1,2,1,1,4,16,2,2
317,2,1,1,2,2,16,4,1,1
318,1,1,2,1,1,0,2,2,1
319,2,2,2,1,1,4,16,2,2
320,1,2,2,2,2,4,2,1,1
321,2,2,2,2,1,9,4,2,2
322,22,1,2,1,2,3,5,1,2
323,2,1,2,1,1,16,22,1,1
324,1,1,1,1,1,0,8,1,1
325,1,2,1,1,2,5,13,2,1
326,1,1,2,2,2,25,12,2,1
327,1,1,2,1,1,13,7,2,2
328,1,2,2,1,1,2,4,1,2
329,2,1,1,1,1,1,8,2,2
330,2,1,2,1,2,9,6,1,2
331,2,1,1,2,2,1,1,1,1
332,1,1,2,1,1,3,3,1,1
333,1,1,2,1,1,2,5,1,1
334,2,2,1,1,2,1,6,1,2
335,1,2,2,2,2,16,9,2,2
336,1,1,1,2,1,11,3,1,2
337,2,1,1,1,2,8,17,1,1
338,2,1,1,2,2,20,13,2,1
339,1,2,2,1,1,7,9,1,1
340,1,1,1,2,2,4,3,1,1
341,2,1,1,2,1,7,20,2,2
342,2,2,2,1,1,5,8,1,1
343,2,2,1,1,1,16,19,2,1
344,2,1,1,1,1,6,4,2,2
345,2,2,1,2,2,18,4,2,1
346,2,1,2,2,2,1,9,1,1
347,1,1,1,1,1,4,0,2,2
348,2,1,1,2,1,11,13,1,2
349,2,2,1,2,2,3,8,1,2
350,1,1,1,2,2,2,1,1,2
351,2,1,2,2,1,8,22,2,1
352,2,2,1,2,1,2,4,1,2
353,2,2,2,2,1,11,8,2,1
354,2,1,2,2,2,6,14,1,2
355,1,1,2,2,1,18,6,1,2
356,1,1,1,1,2,8,7,1,2
357,1,2,2,1,1,2,15,1,1
358,1,1,2,2,2,0,3,2,2
359,2,2,1,1,1,9,11,1,1
360,2,1,1,1,1,0,1,1,2
361,2,1,1,1,1,13,7,1,1
362,2,1,1,1,1,14,3,2,1
363,2,1,2,2,1,6,8,1,2
364,2,1,1,1,2,2,22,1,2
365,1,1,1,2,1,0,19,1,1
366,2,1,2,1,2,4,14,2,2
367,1,1,1,2,2,6,12,2,2
368,2,2,1,1,2,19,9,1,2
369,2,1,2,2,2,18,9,1,2
370,2,2,1,1,1,23,5,2,1
371,2,2,1,2,1,13,11,1,1
372,1,2,1,1,2,7,5,1,2
373,2,2,1,2,2,9,12,2,2
374,2,1,2,2,2,14,9,1,2
375,1,2,2,1,2,20,17,2,1
376,2,2,1,2,2,2,5,2,1
377,1,1,2,1,2,8,16,1,1
378,2,2,2,1,1,1,0,1,2
379,2,2,2,1,1,15,2,1,2
380,1,2,1,1,1,11,6,1,1
381,1,2,1,1,1,12,8,1,2
382,2,2,2,2,1,14,21,1,2
383,2,2,2,1,1,2,12,1,2
384,1,2,1,2,1,3,3,1,1
385,2,2,1,2,2,10,0,2,1
386,2,2,1,2,2,4,11,2,2
387,1,1,2,2,2,8,4,1,1
388,1,1,2,1,1,15,1,2,2
389,1,2,2,2,1,8,11,2,1
390,2,1,1,2,2,13,8,2,1
391,2,2,1,2,1,22,5,1,2
392,1,2,2,1,2,3,6,2,1
393,1,2,1,2,1,2,14,1,2
394,1,1,2,1,1,5,30,1,2
395,1,1,1,2,1,10,1,2,2
396,2,2,2,2,1,5,5,2,1
397,2,2,1,2,2,14,9,2,2
398,1,1,1,2,2,12,6,2,2
399,2,2,1,1,2,1,8,1,2
400,1,1,2,2,2,2,3,1,1
401,2,1,1,2,2,1,5,1,1
402,2,2,2,1,2,4,14,1,1
403,1,1,1,1,2,6,3,1,2
404,1,2,1,1,1,0,8,1,1
405,2,2,2,2,1,18,11,1,1
406,1,2,1,1,2,16,15,1,2
407,2,2,1,2,2,13,3,2,2
408,1,1,2,2,1,1,10,1,2
409,1,1,1,1,2,13,13,2,2
410,2,1,2,1,2,11,4,1,1
411,1,1,2,1,1,22,27,2,1
412,1,1,1,2,2,22,25,2,2
413,1,1,1,2,2,14,17,1,2
414,1,2,2,2,2,0,7,1,2
415,2,1,1,2,2,2,8,2,2
416,2,2,2,2,2,8,5,2,2
417,2,2,1,2,1,1,1,1,2
418,2,2,2,2,1,4,3,2,2
419,1,2,2,1,1,12,5,1,1
420,2,1,2,1,2,19,8,1,1
421,1,1,1,1,1,1,16,2,1
422,1,2,1,2,2,16,11,2,1
423,2,2,2,1,1,3,8,1,2
424,1,2,1,2,2,8,8,1,1
425,2,1,2,1,1,1,5,1,2
426,1,1,1,1,2,8,1,1,1
427,2,1,1,2,2,0,2,2,1
428,2,2,2,1,1,16,7,1,2
429,1,1,2,2,2,3,2,1,1
430,1,2,1,2,1,22,2,1,1
431,2,1,2,2,1,12,6,1,2
432,1,2,2,2,2,12,5,2,2
433,1,1,1,1,1,9,5,2,1
434,1,2,1,2,1,1,8,2,2
435,2,1,2,1,2,9,16,1,1
436,1,1,2,2,1,1,2,2,2
437,1,1,2,2,1,1,6,2,1
438,2,2,1,1,2,19,15,2,1
439,2,2,1,1,1,9,2,2,1
440,1,1,1,2,2,16,13,1,1
441,2,1,2,2,2,23,2,2,2
442,1,1,1,2,2,10,12,2,1
443,1,1,1,2,1,23,2,2,1
444,1,1,2,1,1,3,4,1,2
445,2,2,2,2,1,19,14,1,1
446,1,2,1,1,1,12,21,2,1
447,2,1,1,2,1,5,10,1,1
448,2,2,1,2,2,7,12,2,1
449,2,1,2,2,1,4,13,1,1
450,2,2,2,2,1,2,3,1,1
451,1,2,1,1,2,26,16,1,2
452,2,1,2,2,1,6,9,1,1
453,1,2,1,2,2,12,18,2,1
454,1,2,1,1,1,0,8,1,2
455,2,2,1,1,2,2,14,2,1
456,1,2,1,1,1,0,11,1,1
457,2,1,2,2,2,9,16,1,1
458,1,1,1,2,1,5,4,2,2
459,1,2,1,2,2,1,27,2,2
460,1,2,2,2,1,11,2,1,1
461,1,1,1,1,2,9,1,2,1
462,1,2,2,2,2,0,2,2,2
463,1,2,1,2,2,9,2,2,2
464,1,2,1,1,2,9,1,1,1
465,1,1,1,1,2,0,23,2,2
466,2,1,1,2,1,4,1,1,2
467,2,2,2,2,1,16,27,1,2
468,2,2,1,2,2,6,2,2,1
469,1,1,2,2,2,6,10,1,1
470,1,1,2,1,2,3,1,1,1
471,1,2,1,2,2,8,6,2,2
472,1,1,2,2,1,0,4,2,2
473,2,1,1,2,2,13,3,2,2
474,2,2,1,1,1,1,0,2,1
475,2,2,1,1,2,13,0,1,1
476,1,2,2,2,1,13,17,1,2
477,2,2,2,1,1,3,2,1,1
478,1,2,2,1,2,6,6,2,1
479,2,2,2,2,1,28,21,1,1
480,1,2,1,1,1,21,17,2,2
481,2,1,1,2,1,9,21,2,2
482,1,1,1,2,2,3,4,1,2
483,1,1,1,2,2,5,4,2,1
484,2,2,2,1,2,6,3,2,2
485,1,2,1,1,1,5,17,2,2
486,1,2,1,1,1,4,10,2,1
487,2,1,2,1,1,2,9,1,1
488,2,2,2,2,2,10,13,1,1
489,2,1,2,1,1,0,17,1,1
490,2,2,1,2,2,16,31,2,1
491,2,1,2,1,1,13,13,1,1
492,2,2,2,2,2,13,13,1,2
493,2,2,1,1,2,1,3,2,1
494,2,1,2,1,2,13,15,1,1
495,1,1,2,1,1,4,2,2,2
496,1,1,1,2,2,5,9,1,2
497,1,2,2,2,2,13,10,1,1
498,1,2,1,2,2,12,5,2,2
499,2,1,2,1,2,0,3,1,1
500,2,2,2,1,2,7,0,1,1
501,2,1,2,2,1,0,2,2,1
502,2,1,2,2,2,3,12,2,1
503,1,2,1,2,1,6,24,1,1
504,1,1,2,1,2,4,19,2,1
505,1,2,2,1,1,1,4,1,1
506,1,1,2,1,1,3,5,1,2
507,2,1,2,2,1,19,26,2,1
508,2,2,2,2,2,9,3,2,1
509,2,2,1,1,2,1,5,1,2
510,2,2,2,2,2,20,11,1,2
511,2,2,2,2,1,4,2,1,1
512,2,2,2,1,2,14,7,2,1
513,1,1,1,2,1,7,9,2,2
514,2,1,2,2,2,7,9,2,1
515,1,2,1,2,1,15,1,2,1
516,2,1,1,1,1,11,1,2,1
517,1,1,1,2,1,23,9,1,1
518,1,1,2,2,1,1,20,1,1
519,1,1,2,2,1,8,23,1,1
520,1,2,2,2,2,10,0,2,1
521,2,2,2,1,2,7,6,2,1
522,2,1,2,2,1,5,6,1,1
523,2,1,2,1,1,5,7,2,2
524,2,1,1,2,1,17,23,1,1
525,1,1,1,2,2,3,6,1,1
526,1,2,1,1,2,7,12,2,1
527,2,1,1,2,2,11,9,1,1
528,1,2,2,1,1,4,11,2,2
529,1,2,2,2,2,31,14,2,2
530,2,2,2,2,2,5,3,2,2
531,2,2,2,1,2,6,11,1,2
532,2,2,1,2,1,2,3,2,1
533,1,2,1,1,1,3,14,1,1
534,1,1,1,1,2,10,8,2,2
535,1,2,2,1,1,2,17,1,1
536,2,1,2,1,2,16,0,1,1
537,1,1,1,1,1,10,8,1,1
538,1,1,1,2,1,6,5,1,2
539,2,1,1,1,1,19,24,2,2
540,1,2,1,1,2,4,1,2,2
541,2,1,1,2,2,16,9,1,1
542,2,2,2,2,2,10,2,2,1
543,1,2,1,2,2,13,10,1,2
544,2,1,1,2,1,4,3,2,1
545,1,1,1,1,1,14,19,2,1
546,2,2,1,2,1,11,25,1,2
547,2,1,1,1,1,9,8,1,1
548,2,1,1,2,2,11,18,1,1
549,2,2,2,1,1,5,11,1,2
550,1,2,1,2,1,12,11,1,1
551,1,1,2,2,2,1,5,2,1
552,1,2,1,1,2,0,2,1,1
553,1,2,1,2,1,12,4,2,1
554,2,1,2,2,2,17,23,1,2
555,2,1,1,2,1,22,21,2,1
556,2,2,2,2,1,9,1,2,2
557,1,2,1,1,2,8,1,1,2
558,1,2,2,2,2,14,18,1,2
559,2,2,2,1,1,3,2,1,1
560,1,1,2,1,2,16,19,2,2
561,2,2,2,1,2,10,4,2,1
562,1,2,1,1,2,10,13,2,2
563,1,1,2,2,1,23,12,2,1
564,1,1,1,2,1,11,9,1,1
565,1,1,2,1,2,7,3,1,2
566,1,1,1,1,1,14,11,1,1
567,2,2,1,2,2,13,19,1,1
568,2,2,2,1,2,10,27,1,1
569,2,1,1,2,2,5,5,2,2
570,1,2,2,1,1,19,34,1,1
571,1,2,1,1,1,0,0,2,1
572,2,1,1,2,2,1,0,1,1
573,2,1,2,1,2,23,2,2,1
574,2,2,1,1,1,4,6,2,1
575,2,2,1,1,2,9,1,1,2
576,1,1,2,1,2,1,1,1,2
577,1,2,2,1,2,8,1,1,1
578,2,1,2,1,2,23,4,1,1
579,2,1,2,1,2,3,2,2,2
580,2,1,2,2,1,7,17,1,2
581,2,2,2,2,2,2,9,2,1
582,1,1,2,1,2,8,5,1,2
583,2,1,1,1,2,9,2,1,2
584,1,1,2,1,2,17,15,1,1
585,2,2,2,1,2,1,1,1,1
586,1,2,1,1,2,9,3,2,2
587,2,2,1,2,1,8,4,2,2
588,2,2,2,2,2,18,0,2,2
589,2,1,2,1,1,10,9,2,2
590,1,1,2,2,2,3,6,1,1
591,2,1,1,2,1,11,2,1,1
592,2,2,1,2,1,1,0,2,2
593,2,2,1,2,2,8,10,2,1
594,1,2,2,2,2,8,2,1,2
595,1,2,2,1,1,2,0,1,1
596,2,2,2,2,1,11,17,1,1
597,1,1,2,1,2,1,2,2,1
598,1,1,2,1,2,5,1,2,2
599,2,2,2,2,2,3,11,1,2
600,2,2,2,1,2,4,4,2,2
601,2,1,1,2,2,5,18,2,1
602,1,1,1,1,1,24,12,1,1
603,2,2,1,2,2,11,5,1,2
604,2,2,1,1,2,10,14,1,1
605,1,1,2,2,1,3,5,2,1
606,1,1,1,2,1,28,9,1,1
607,2,2,2,1,2,2,3,2,1
608,2,1,2,2,2,4,14,1,1
609,2,1,2,1,1,7,3,2,2
610,1,1,2,1,2,8,4,1,1
611,1,1,2,2,2,5,14,1,2
612,1,2,1,1,1,9,24,2,2
613,2,2,2,1,2,3,15,2,2
614,2,2,1,2,2,18,0,2,2
615,2,2,1,2,1,11,15,1,1
616,2,1,1,1,1,21,16,2,2
617,2,2,1,2,1,1,3,1,1
618,1,2,2,1,2,6,7,1,1
619,2,1,2,1,1,4,3,1,1
620,2,1,1,1,2,8,18,2,1
621,2,2,2,2,1,2,2,2,2
622,2,2,1,2,1,2,19,1,1
623,1,1,1,2,1,30,15,2,2
624,2,1,1,1,1,19,7,1,2
625,1,1,1,1,2,7,4,2,1
626,1,1,1,2,2,16,9,1,2
627,1,1,1,1,1,12,13,2,1
628,2,1,2,1,2,3,14,2,1
629,1,2,1,2,1,2,6,2,1
630,2,1,2,2,1,7,7,1,1
631,1,1,1,1,2,8,12,2,2
632,1,2,2,2,2,19,28,2,2
633,2,2,2,1,1,31,10,2,2
634,2,2,1,1,1,2,1,2,1
635,1,1,1,1,1,13,9,2,2
636,2,1,1,1,1,24,16,1,2
637,1,1,1,2,1,0,8,1,2
638,2,1,1,1,2,8,12,1,2
639,1,1,1,1,2,6,1,1,1
640,2,2,2,1,2,8,18,2,2
641,2,1,1,1,1,1,16,2,2
642,1,1,1,2,2,16,32,2,2
643,2,2,2,2,2,7,6,1,1
644,2,1,2,1,1,6,6,1,2
645,1,1,2,2,2,29,25,2,1
646,2,2,1,1,2,1,1,2,1
647,1,1,2,1,1,12,6,1,1
648,1,2,2,2,2,6,7,2,2
649,2,1,1,1,1,12,17,2,2
650,1,2,1,1,1,5,8,2,2
651,2,1,2,2,2,7,7,1,2
652,1,2,1,1,2,5,9,1,1
653,2,2,1,1,1,13,10,1,2
654,1,2,1,1,2,3,0,1,1
655,2,1,2,2,1,12,2,2,1
656,2,1,2,1,2,15,6,1,2
657,2,1,2,2,2,12,9,2,1
658,2,2,2,2,1,16,11,1,2
659,1,2,2,1,2,5,5,1,1
660,2,1,1,2,1,12,10,1,2
661,2,2,1,1,1,2,4,1,1
662,1,1,1,1,2,1,13,1,1
663,1,1,1,1,2,7,9,1,2
664,1,1,2,1,2,12,13,2,1
665,2,2,2,1,1,16,2,1,2
666,1,2,2,1,1,25,11,2,2
667,1,1,2,2,1,22,15,2,2
668,2,2,1,2,1,1,12,2,2
669,2,2,2,2,2,8,15,2,1
670,2,2,1,2,1,10,4,2,2
671,1,1,2,1,2,3,4,2,1
672,2,2,2,2,2,0,7,1,2
673,1,2,1,1,2,7,1,1,2
674,2,1,1,1,2,0,6,1,2
675,1,1,2,1,2,5,5,1,1
676,1,1,2,2,2,30,8,2,2
677,1,2,2,2,1,9,2,1,1
678,1,2,2,2,1,7,9,2,2
679,2,1,1,1,1,9,8,2,2
680,1,1,2,1,1,18,4,2,1
681,1,2,2,2,1,7,3,1,2
682,1,2,2,2,2,4,1,1,1
683,2,1,2,2,2,1,18,2,1
684,2,1,1,1,1,2,1,2,1
685,1,2,2,2,1,19,10,2,1
686,1,1,1,1,1,8,6,1,1
687,1,1,2,1,2,1,5,2,1
688,1,1,1,1,2,10,1,2,2
689,1,1,1,2,1,13,12,2,2
690,2,1,1,2,1,5,2,2,2
691,2,1,1,1,1,0,5,2,2
692,2,2,2,1,2,32,8,2,2
693,1,2,2,1,2,0,26,2,1
694,1,1,2,2,1,0,3,2,1
695,2,1,2,1,2,7,1,2,2
696,2,1,1,2,2,7,16,2,2
697,1,2,2,2,2,6,5,1,1
